mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
7;1;1.00;-;26.3;73;7;65;12;60;0;1011.9;-
7;1;2.00;-;25.8;75;12;107;19;106;0;1011.4;-
7;1;3.00;-;25.6;74;12;128;18;116;0;1011.6;-
7;1;4.00;-;25.4;73;11;112;17;112;26;1011.8;-
7;1;5.00;-;26.3;65;9;78;14;102;426;1011.9;-
7;1;6.00;-;26.5;62;9;111;14;65;1003;1012.2;-
7;1;7.00;-;27.4;55;8;80;10;76;1648;1011.9;-
7;1;8.00;-;28.5;59;3;234;7;70;2238;1011.9;-
7;1;9.00;-;28.1;57;5;304;10;301;2715;1011.6;-
7;1;10.00;-;27.8;64;12;262;18;264;3052;1011.3;-
7;1;11.00;-;27.4;80;23;259;31;256;3252;1011.7;-
7;1;12.00;-;27.9;76;33;225;48;227;2957;1011.1;-
7;1;13.00;-;28.3;68;37;231;48;224;2091;1011.0;-
7;1;14.00;-;27.3;78;36;244;44;239;2644;1011.1;-
7;1;15.00;-;27.3;79;32;240;41;245;1860;1010.7;-
7;1;16.00;-;27.1;83;32;251;39;244;930;1011.3;-
7;1;17.00;-;26.9;85;23;269;33;260;300;1011.7;-
7;1;18.00;-;26.8;86;7;353;21;321;201;1012.0;-
7;1;19.00;-;27.1;80;10;322;17;324;60;1012.5;-
7;1;20.00;-;27.1;80;4;167;11;126;0;1012.9;-
7;1;21.00;-;27.1;80;5;128;9;126;0;1013.4;-
7;1;22.00;-;26.9;82;6;117;8;128;0;1013.6;-
7;1;23.00;-;26.6;84;9;115;10;127;0;1013.9;-
7;1;24.00;-;26.3;82;7;40;12;17;0;1014.1;-
7;2;1.00;-;26.6;78;11;30;14;17;0;1014.1;-
7;2;2.00;-;27.1;67;14;78;21;78;0;1014.2;-
7;2;3.00;-;27.1;69;11;45;18;73;0;1014.4;-
7;2;4.00;-;27.3;55;19;78;33;74;44;1014.8;-
7;2;5.00;-;27.2;53;27;75;35;72;403;1015.4;-
7;2;6.00;-;27.4;53;27;69;34;73;974;1015.9;-
7;2;7.00;-;27.6;53;30;69;39;67;1621;1016.4;-
7;2;8.00;-;28.2;55;33;66;41;74;2239;1017.0;-
7;2;9.00;-;28.9;54;28;65;35;66;2757;1017.0;-
7;2;10.00;-;29.3;54;22;57;33;68;3145;1017.2;-
7;2;11.00;-;30.1;48;20;49;26;54;3347;1017.0;-
7;2;12.00;-;29.8;54;9;20;18;64;3337;1016.7;-
7;2;13.00;-;30.0;56;7;321;14;321;3118;1016.4;-
7;2;14.00;-;28.5;70;13;265;23;266;2687;1016.3;-
7;2;15.00;-;28.1;77;22;265;28;260;2092;1016.0;-
7;2;16.00;-;28.1;77;22;273;26;267;1472;1015.5;-
7;2;17.00;-;28.2;75;21;266;24;274;936;1015.3;-
7;2;18.00;-;28.0;77;17;270;23;264;396;1015.5;-
7;2;19.00;-;27.5;81;6;110;16;278;63;1015.6;-
7;2;20.00;-;28.0;78;8;67;17;63;0;1015.7;-
7;2;21.00;-;28.7;59;17;77;24;73;0;1016.2;-
7;2;22.00;-;28.3;56;14;76;18;81;0;1016.2;-
7;2;23.00;-;28.0;52;21;72;36;67;0;1016.0;-
7;2;24.00;-;27.6;49;28;67;38;59;0;1016.0;-
7;3;1.00;-;27.1;51;32;68;37;64;0;1016.1;-
7;3;2.00;-;26.9;51;23;90;34;67;0;1015.7;-
7;3;3.00;-;26.5;51;27;91;36;91;0;1015.5;-
7;3;4.00;-;26.1;54;28;101;37;88;33;1015.7;-
7;3;5.00;-;26.1;56;13;101;23;86;407;1015.8;-
7;3;6.00;-;26.6;52;14;82;23;83;1017;1016.0;-
7;3;7.00;-;27.4;54;13;90;22;79;1647;1016.0;-
7;3;8.00;-;27.9;53;9;122;17;83;2241;1015.8;-
7;3;9.00;-;28.2;52;5;269;9;266;2754;1015.7;-
7;3;10.00;-;28.0;59;13;268;18;270;3131;1015.7;-
7;3;11.00;-;28.5;54;19;273;22;277;3324;1015.4;-
7;3;12.00;-;28.3;61;20;264;24;268;3321;1015.0;-
7;3;13.00;-;28.4;62;20;245;23;257;3105;1014.6;-
7;3;14.00;-;28.6;63;21;252;26;245;2687;1014.3;-
7;3;15.00;-;28.5;67;18;243;23;260;2122;1014.0;-
7;3;16.00;-;28.2;70;17;222;22;223;1486;1014.0;-
7;3;17.00;-;28.4;66;17;227;21;221;941;1013.9;-
7;3;18.00;-;28.3;69;12;212;16;216;396;1014.2;-
7;3;19.00;-;28.5;65;7;76;15;62;60;1014.2;-
7;3;20.00;-;28.2;68;10;100;14;100;0;1014.7;-
7;3;21.00;-;27.9;73;8;66;10;98;0;1014.9;-
7;3;22.00;-;27.8;66;8;123;12;128;0;1014.8;-
7;3;23.00;-;28.3;55;4;27;9;118;0;1015.2;-
7;3;24.00;-;27.9;58;14;72;22;83;0;1014.7;-
7;4;1.00;-;28.2;53;15;95;23;97;0;1014.3;-
7;4;2.00;-;29.3;50;19;75;27;81;0;1013.9;-
7;4;3.00;-;28.7;56;18;66;31;72;0;1014.0;-
7;4;4.00;-;28.2;60;17;77;23;71;57;1014.1;-
7;4;5.00;-;28.5;52;20;92;24;92;429;1014.0;-
7;4;6.00;-;28.6;56;19;91;23;95;818;1013.8;-
7;4;7.00;-;29.5;52;19;100;25;100;1574;1013.5;-
7;4;8.00;-;29.3;57;10;249;19;99;2285;1013.5;-
7;4;9.00;-;27.7;75;15;257;20;258;2431;1013.1;-
7;4;10.00;-;28.8;65;18;258;22;258;3167;1013.6;-
7;4;11.00;-;28.7;66;18;250;22;256;3389;1013.5;-
7;4;12.00;-;28.6;68;15;220;18;244;3330;1013.2;-
7;4;13.00;-;28.5;68;17;217;21;216;2916;1012.9;-
7;4;14.00;-;29.1;65;15;217;19;222;2193;1012.6;-
7;4;15.00;-;29.7;56;14;215;17;215;1894;1011.4;-
7;4;16.00;-;29.2;62;14;233;18;241;1483;1010.8;-
7;4;17.00;-;29.1;68;19;251;28;250;913;1010.9;-
7;4;18.00;-;28.8;75;15;242;20;248;382;1011.5;-
7;4;19.00;-;28.0;83;8;134;15;243;57;1011.4;-
7;4;20.00;-;29.0;66;9;221;14;220;0;1012.3;-
7;4;21.00;-;28.5;61;30;295;58;266;0;1012.7;-
7;4;22.00;-;28.2;58;36;287;52;296;0;1013.0;-
7;4;23.00;-;27.8;58;22;1;31;319;0;1012.6;-
7;4;24.00;-;27.1;56;10;331;25;20;0;1012.3;-
7;5;1.00;-;27.2;60;7;33;16;29;0;1012.0;-
7;5;2.00;-;27.3;57;10;148;15;120;0;1012.1;-
7;5;3.00;-;27.1;62;7;114;15;79;0;1012.2;-
7;5;4.00;-;26.9;64;8;348;15;22;15;1012.7;-
7;5;5.00;-;26.4;63;16;37;23;49;384;1012.8;-
7;5;6.00;-;26.7;62;17;40;23;51;960;1012.8;-
7;5;7.00;-;27.3;58;17;42;24;56;1579;1012.9;-
7;5;8.00;-;28.4;56;15;65;18;50;2148;1012.8;-
7;5;9.00;-;28.7;55;8;95;14;47;2297;1012.7;-
7;5;10.00;-;28.5;60;8;298;13;90;1385;1012.7;-
7;5;11.00;-;28.6;63;14;285;17;283;3288;1012.5;-
7;5;12.00;-;28.5;65;15;270;18;273;3390;1012.2;-
7;5;13.00;-;28.7;66;17;269;20;265;3106;1011.6;-
7;5;14.00;-;29.2;61;19;292;22;290;2717;1011.8;-
7;5;15.00;-;29.9;50;19;43;40;44;2316;1011.9;-
7;5;16.00;-;27.4;65;23;19;43;26;242;1012.7;-
7;5;17.00;-;26.1;69;18;338;41;28;597;1012.4;-
7;5;18.00;-;27.8;65;13;18;24;15;384;1013.0;-
7;5;19.00;-;27.9;66;10;18;18;37;50;1012.8;-
7;5;20.00;-;29.1;54;18;56;37;64;0;1013.7;-
7;5;21.00;-;27.8;56;35;56;44;62;0;1014.3;-
7;5;22.00;-;27.6;59;33;71;44;52;0;1014.7;-
