mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
4;1;1.00;0.0;13.8;71;3;134;6;202;0;1020.1;-
4;1;2.00;0.0;13.8;58;2;27;4;210;0;1019.6;-
4;1;3.00;0.0;12.7;75;2;59;6;66;0;1019.3;-
4;1;4.00;0.0;12.7;68;2;158;5;88;0;1019.0;-
4;1;5.00;0.0;12.6;66;2;318;3;116;7;1018.7;-
4;1;6.00;0.0;13.6;66;3;206;5;53;327;1018.6;-
4;1;7.00;0.0;13.7;68;3;344;5;240;986;1018.7;-
4;1;8.00;0.0;14.1;77;3;312;5;311;1625;1018.8;-
4;1;9.00;0.0;15.3;73;5;276;8;296;2189;1018.8;-
4;1;10.00;0.0;16.3;69;2;292;4;295;2573;1018.3;-
4;1;11.00;0.0;16.7;67;4;285;6;291;2766;1017.6;-
4;1;12.00;0.0;17.3;67;5;280;6;279;2801;1016.9;-
4;1;13.00;0.0;17.1;-;7;271;9;292;2560;1016.5;-
4;1;14.00;0.0;16.9;71;7;328;9;285;2149;1015.9;-
4;1;15.00;0.0;18.2;-;3;320;6;329;1584;1015.3;-
4;1;16.00;0.0;19.2;-;2;268;4;300;952;1014.8;-
4;1;17.00;0.0;17.7;48;3;54;5;278;397;1014.6;-
4;1;18.00;0.0;17.1;-;3;104;7;333;29;1014.5;-
4;1;19.00;0.0;18.5;42;4;95;8;111;0;1014.4;-
4;1;20.00;0.0;17.4;44;5;107;10;87;0;1014.7;-
4;1;21.00;0.0;16.5;48;2;100;5;95;0;1014.8;-
4;1;22.00;0.0;14.9;78;3;37;8;9;0;1015.0;-
4;1;23.00;0.0;15.2;67;9;92;16;351;0;1015.0;-
4;1;24.00;0.0;14.4;63;5;146;11;108;0;1014.7;-
4;2;1.00;0.0;14.8;53;4;83;8;85;0;1014.2;-
4;2;2.00;0.0;13.9;57;5;189;12;70;0;1013.6;-
4;2;3.00;0.0;13.7;68;2;80;5;214;0;1013.1;-
4;2;4.00;0.0;13.7;74;3;318;9;324;0;1012.8;-
4;2;5.00;0.0;13.7;77;3;1;10;323;6;1013.0;-
4;2;6.00;0.0;14.1;75;3;213;6;77;154;1013.2;-
4;2;7.00;0.0;14.8;61;5;260;11;205;649;1013.5;-
4;2;8.00;0.0;14.4;79;4;296;8;268;1153;1013.8;-
4;2;9.00;0.0;14.4;76;4;254;8;251;1682;1013.6;-
4;2;10.00;0.0;16.0;-;3;265;5;255;2407;1013.2;-
4;2;11.00;0.0;17.1;-;4;287;7;261;3005;1012.6;-
4;2;12.00;0.0;16.0;68;7;255;9;245;2264;1012.2;-
4;2;13.00;0.0;15.9;69;7;335;9;299;2600;1011.8;-
4;2;14.00;0.0;16.3;75;8;303;15;303;2178;1010.9;-
4;2;15.00;0.0;15.9;78;15;312;19;315;1638;1010.3;-
4;2;16.00;0.0;15.8;72;12;322;19;312;1066;1010.1;-
4;2;17.00;0.0;15.7;74;8;317;12;318;389;1010.2;-
4;2;18.00;0.0;15.5;80;5;21;8;297;37;1010.1;-
4;2;19.00;0.0;14.8;79;1;191;2;66;0;1010.3;-
4;2;20.00;0.0;15.2;76;3;227;9;198;0;1010.3;-
4;2;21.00;0.0;15.2;79;3;352;5;124;0;1009.9;-
4;2;22.00;0.0;15.0;82;7;336;19;340;0;1010.2;-
4;2;23.00;0.0;16.8;65;10;120;22;104;0;1010.1;-
4;2;24.00;2.7;15.3;79;11;119;24;109;0;1009.8;-
4;3;1.00;0.2;15.5;71;14;98;30;83;0;1008.7;-
4;3;2.00;0.0;14.6;76;17;83;33;72;0;1008.5;-
4;3;3.00;0.0;13.4;68;40;69;57;56;0;1008.8;-
4;3;4.00;0.0;12.7;65;45;69;65;62;0;1009.0;-
4;3;5.00;0.8;11.9;66;41;93;61;70;2;1009.4;-
4;3;6.00;0.0;12.4;61;40;78;68;76;202;1009.4;-
4;3;7.00;0.1;12.6;58;56;74;76;60;686;1009.4;-
4;3;8.00;0.0;13.3;56;56;68;81;60;1651;1010.2;-
4;3;9.00;0.0;13.8;49;51;83;75;72;2235;1011.6;-
4;3;10.00;0.0;14.5;43;34;87;59;104;2773;1012.4;-
4;3;11.00;0.0;15.0;40;33;98;56;95;3039;1012.3;-
4;3;12.00;0.0;15.2;44;37;66;65;80;3065;1011.9;-
4;3;13.00;0.0;14.6;44;42;76;67;62;2795;1012.1;-
4;3;14.00;0.0;15.2;40;46;94;67;74;2368;1011.9;-
4;3;15.00;0.0;14.9;41;45;79;74;71;1758;1011.8;-
4;3;16.00;0.0;15.3;34;45;71;74;78;1015;1011.9;-
4;3;17.00;0.0;14.5;35;44;77;73;64;543;1012.8;-
4;3;18.00;0.0;13.7;40;45;63;64;82;37;1013.6;-
